Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
obc_set_pwm_freq,'297701484179903775625657074548773050343 1570188927',gssb_update_status,'',obc_pwm_pwr,'%M',gssb_msp_get_temp,'',gssb_get_status,'',0,6.961833238601685,444020.0,10684.0
obc_update_tle,'',eps_hard_reset,'',com_get_node,'',com_set_config,"'0U""(m~ -1958582772'",obc_ident,'',0,6.979904651641846,444020.0,10700.0
gssb_burn,'',drp_get_vars,'',com_set_config,'126855532342918502570806822131182792597 -197898605926025842568210644973215340238',fp_show,'',obc_ident,'',0,6.954948902130127,444020.0,10820.0
com_send_data,'$Y;C]%',obc_set_pwm_freq,'Ui -82163921048610826684243398870067242930',gssb_commit_addr,'',gssb_get_status,'',rw_get_current,'',0,7.8277201652526855,444020.0,10716.0
drp_add_hrs_alive,'-1805551095',tm_send_last,'-1528748001 72588958209869979181481739476598489939',eps_set_heater,'_rR1%hFf 90030862610585164059472310326597702145',init_dummy_sensor,'',com_reset_wdt,'8801578549128744961',0,6.9778759479522705,444020.0,10652.0
eps_get_hk,'',obc_get_sensors,'',obc_get_mem,'',fp_set_cmd_dt,'737846199699885365 M=fyMj# 407269746055357422 -1344844936 -217414272913536209242261914073222484572',rw_set_speed,'804559267 zS@)3/!',0,6.9112372398376465,444020.0,10568.0
eps_get_config,'',obc_update_status,'',obc_reset_wdt,'',gssb_arm_auto,'-587975222',eps_hard_reset,'',0,6.89709210395813,444020.0,10900.0
drp_set_deployed,'7355358652288146838',drp_set_var,'-7512362894807953253 6553289931485202427',gssb_get_status,'',com_debug,'',gssb_update_status,'',0,7.0073418617248535,444020.0,10884.0
gssb_fss_get_temp,'',rw_get_current,'',fp_reset,'',com_get_node,'',com_get_node,'',0,7.02706241607666,444020.0,10928.0
gssb_msp_get_temp,'',com_debug,'',gssb_reset,'',gssb_antenna_release,'45448583763127671457205809504306477919 *' -2094372399 2610022459911250483',drp_add_hrs_alive,'192116684401863830715678767505969022137',0,6.921919584274292,444020.0,10808.0
com_set_node,'14508338403011871023',rw_get_speed,'',gssb_msp_get_temp,'',com_get_config,'-109426743001295895033685305258884789563',fp_del_cmd,'-4330904092639328318 3502987861056923806 ]k; 1861916219 eJAhb |',0,6.880178928375244,444020.0,10588.0
gssb_get_temp,'',eps_hard_reset,'',obc_get_time,'wFVtb%]',gssb_select,'y<',com_debug,'',0,6.955021619796753,444020.0,10684.0
gssb_get_uuid,'',eps_hard_reset,'',help,'',eps_get_config,'',obc_set_pwm_freq,'DUPT9kjV/ 7674062998117809836',0,6.90687370300293,444020.0,10656.0
com_get_config,'7538333567357222115',help,'',com_debug,'',obc_get_sensors,'',gssb_reset,'',0,7.004372596740723,444020.0,10596.0
obc_set_pwm_freq,'NTH Vt',eps_hard_reset,'',tm_send_from,"'o9[W9""7{. ( 2154650162867331753'",gssb_scan,'gPxtH_ c.',fp_set_cmd_dt,"'-5046501579258480697 vVF? 170931300922863661624208678931441000019 _ NRKLz,~9'",0,6.926010608673096,444020.0,10652.0
obc_get_time,'2032430054',gssb_get_temp_int,'',init_dummy_sensor,'',gssb_unlock_config,'5879295401674331333',gssb_get_status,'',0,6.91124153137207,444020.0,10660.0
fp_del_cmd_unix,'-875227033',obc_pwm_pwr,'0;6+g',eps_update_status,'',gssb_arm_auto,'5024213319085452354',gssb_set_addr,'-3129985185520482336',-6,6.405529975891113,444020.0,10900.0
tm_get_last,'-8889470579085349033',tm_get_last,'4667462355336520611',com_send_rpt,'615583019 -74485370415169213128941604952540104124',obc_set_pwm_duty,'92468427275012323158522584905705337005 8576446721515541100',gssb_commit_addr,'',0,6.367889404296875,444020.0,10704.0
com_ping,'s.~',gssb_get_temp_int,'',fp_show,'',com_debug,'',tm_parse_status,'',0,7.044508934020996,444020.0,10648.0
drp_ebf,'-1270147204',gssb_fss_commit_config,'',com_debug,'',tm_get_last,'459348510',com_set_config,'399725326062877208 f+f2',0,6.970937252044678,444020.0,10652.0
gssb_get_status,'',eps_set_heater,"'-1966849863 $,wY5/M'",gssb_update_status,'',drp_set_var,'8348364064009274156 -8118486621118151216',gssb_set_burn_config,'15229689751453108066 214603665169590821796531589032127087695 1862804952 1612352701 6854374242500216874 2938730974655178361 -7801322371762977855',0,7.012004613876343,444020.0,10664.0
gssb_get_model,'',tm_send_last,'-6436036846706639622 284359514619274801803453977249306219128',rw_set_speed,'16924306974408736505 105113169542528996621204685716349061794',gssb_get_status,'',fp_test_params,'16175338186733866547 -38084198504377294420371201195192559162 5507378417254141482',0,6.706630229949951,444020.0,10900.0
obc_get_sensors,'',com_get_node,'',tm_parse_status,'',fp_del_cmd_unix,'607900342727222324',eps_get_hk,'',-6,6.625507593154907,444020.0,10880.0
gssb_fss_commit_config,'',tm_send_all,'2078150387 -320976059575568218393998771936149098557',help,'',gssb_get_burn_config,'',drp_ebf,'tk\6',0,7.268378734588623,444020.0,10656.0
gssb_burn,'',gssb_set_addr,'4272751283216131373',fp_del_cmd_unix,'-250275055092295781153488060537191720463',com_send_cmd,'209078331 -113697321013924590874821613686326974752',com_update_status,'',-6,6.41751503944397,444020.0,10652.0
fp_set_cmd,'-7462349325503401441 5598594091697059801 5362434457486540928 -224833329675121056286463628042830745801 232638600816431569991584981783003690009 623193849 63512210356068907711545392256701858373 ~V-r(Zmz 221663410109614536547222603926572266672 108794309962339179',help,'',drp_set_deployed,'p[q*=R',obc_prop_tle,'54381708050597803997593108547250667387',obc_prop_tle,'-1753757759934016161',0,6.580463886260986,444020.0,10652.0
gssb_scan,"'$<wnNO6,-I n['",obc_ident,'',tm_send_last,'-8921779159510468956 255648319587734546704914950475073174000',tm_send_last,'8512904794991078892 UJ2k8yf'',obc_set_tle,'290124314171390753600289615550730951948 -950028698260323243952411610071930142',0,6.933017730712891,444020.0,10908.0
tm_send_from,'4806362446430972053 1922655420 1943651604',com_debug,'',gssb_burn,'',drp_ebf,'-314770724157216641665037121258558322236',tm_send_from,'7584596396212445342 -1886591954 -646480746',0,6.9290931224823,444020.0,10676.0
obc_debug,'-6381021860438966507',drp_get_vars,'',drp_test_system_vars,'',gssb_select,'',eps_get_hk,'',0,9.993481159210205,444020.0,10636.0
help,'',tm_send_from,'17564489335658168357 13314816633220820759 -4599836707553189115',gssb_fss_set_config,'338844544003871780',obc_get_sensors,'',fp_set_cmd_dt,'18056189614676101451 6248437472936661430 iugz%Z1 n#:_TUgi{ `@',0,7.207838296890259,444020.0,10812.0
drp_clear_gnd_wdt,'',drp_set_var,'8501419558820454690 -1408514028',tm_send_all,'240526432563680719294838616878624007247 103624673064503335305273417735358436645',drp_ebf,'-228523030249275965420517959632016159618',drp_test_system_vars,'',0,9.913476467132568,444020.0,10940.0
gssb_get_status,'',tm_set_ack,'{]jCU -212935811941081194224806975253546554695',tm_set_ack,'-8826215902447725409 -1317533946',com_send_rpt,'202941338843239677454833070379165139241 2116917086',tm_parse_status,'',0,7.438861608505249,444020.0,10928.0
com_debug,'',tm_send_from,'3054505522642143126 n 8096953119482697921',gssb_update_status,'',gssb_fss_commit_config,'',test,'9175895383787687325',0,6.93134069442749,444020.0,10664.0
eps_get_config,'',drp_test_system_vars,'',drp_test_system_vars,'',drp_set_var,'12861170550108089383 *Z',help,'',0,13.397032022476196,444020.0,10700.0
test,'1216640260',tm_get_last,'',fp_set_cmd_dt,'i^I{Z}V 311202770436847861192305181991728009968 228716425306285937450133040092717183897 -641195000 -616006288160153890',gssb_arm_auto,'-199539885285639032426747355350633629734',obc_debug,'79744937235771826',0,6.9467103481292725,444020.0,10728.0
com_get_config,"'U*:""Zn'",drp_test_system_vars,'',gssb_get_sun,'',obc_update_tle,'',gssb_set_addr,'7996178923608994577',0,10.367904424667358,444020.0,10684.0
obc_get_mem,'',gssb_fss_set_config,'LJeOel',com_set_config,'-6128002171687322555 719807969',gssb_commit_addr,'',fp_set_cmd_unix,'816490329600841707 6705775523668782281 174144767179042198029711128660274417640 -1804597510 231750038',-6,6.533393621444702,444020.0,10592.0
gssb_get_version,'',eps_get_hk,'',gssb_get_status,'',com_send_cmd,'6784329358942947906 1778994682',tm_send_status,'5148464708459674475',-6,7.490493297576904,444020.0,10956.0
gssb_get_sun,'',drp_add_hrs_alive,'137742535962092154200771203457608302611',fp_reset,'',com_send_tc,'890888634 -1178647507',tm_send_from,'9619971512460233146 2288076406263908469 3375245579621455219',-6,7.510923862457275,444020.0,10648.0
drp_get_vars,'',fp_set_cmd_dt,'@!c`pTxR* 7q{ 14639277728398293248 1800149418399131849 -7295765025702664951',gssb_reset,'',gssb_fss_get_temp,'',drp_set_var,'17293000238892985756 11190828128145762935',0,7.035541296005249,444020.0,10936.0
drp_set_deployed,'',gssb_commit_addr,'',obc_prop_tle,'-344113505',gssb_get_status,'',gssb_get_burn_config,'',-11,6.363351583480835,444020.0,10648.0
obc_reset_wdt,'',gssb_burn,'',rw_get_speed,'',obc_prop_tle,'15471659720032377795',com_ping,'-424566535561407425',0,9.528523206710815,444020.0,10676.0
obc_set_pwm_duty,'2873369546696024482 79760399264983768678624468854375756680',com_ping,'-8696390850002104844',gssb_get_temp,'',eps_hard_reset,'',com_get_config,'-414302457',0,9.205937147140503,444020.0,10596.0
test,'9370230117006816356',obc_pwm_pwr,'9240622581836694895',rw_get_current,'',test,'-14866391793923314445325686382133879376',fp_set_cmd_dt,'-891254875 -9991825461235154553137506751253352457 1990888271 1410914434 3013862829437259913',-6,6.664001703262329,444020.0,10692.0
gssb_fss_commit_config,'',gssb_set_addr,'-472043062',obc_get_tle,'',drp_get_vars,'',obc_reset_wdt,'',0,6.900934219360352,444020.0,10716.0
com_reset_wdt,"','",drp_test_system_vars,'',fp_reset,'',drp_set_deployed,'-4057111573009590259',obc_update_tle,'',0,10.251679182052612,444020.0,10912.0
gssb_fss_commit_config,'',obc_set_pwm_freq,'-8202113705442488686 17033809334992312420',obc_get_mem,'',tm_send_status,'1417368354',set_state,'7058904994600073662 $% -286071494430691789730366581079670831509',-6,6.550962209701538,444020.0,10640.0
fp_del_cmd_unix,'-129150467271936254262285102801031915895',drp_ebf,'257071249929853694959916838733189125092',com_ping,'163740539762614702073007712753021944629',tm_parse_status,'',gssb_get_sun,'',-6,7.76429009437561,444020.0,10668.0
gssb_unlock_config,'-3871913483151143352846217955155960862',gssb_arm_manual,'-1877540806',eps_update_status,'',obc_get_sensors,'',help,'',0,7.142940521240234,444020.0,10664.0
tm_send_last,'-5709101283822390710 330620148221196486695134306872825251571',rw_get_current,'',com_send_cmd,'-516754790 ',obc_update_tle,'',tm_send_last,'461892029443015672 -958007417433086557',0,7.340778589248657,444020.0,10880.0
gssb_get_temp,'',obc_set_pwm_duty,"'H's""@7;Uj -181086273696494644957090671301569536462'",tm_set_ack,'252745410364847687570602038080533650598 8036919437780166288',gssb_get_model,'',tm_send_all,'-2072745995 -1712362330479972604',0,6.967270374298096,444020.0,10660.0
com_set_node,'174289592330974117881949354893472945920',drp_set_deployed,'-9071349691627126608',tm_send_status,'<&(wZKI*0)',gssb_fss_get_temp,'',drp_get_vars,'',0,7.1866676807403564,444020.0,10832.0
tm_parse_status,'',com_debug,'',com_reset_wdt,'P@',com_debug,'',fp_del_cmd,'14681539565282205055 -283067242999247448266217445273950080180 1304362405 16233134870277323140 180210585745920894856502062106207487650 -921603683',-11,6.6551313400268555,444020.0,11016.0
obc_get_sensors,'',gssb_get_uuid,'',obc_set_tle,'91Y;<]s 3101317751392573945',com_send_cmd,'-6433728653388983413 ',tm_send_all,'-1264876245 -330099926127441272870472789322704504755',0,7.887909889221191,444020.0,10708.0
rw_get_speed,'',tm_send_all,'1437450065 -8209845520684226569',fp_set_cmd_unix,'qlE -730328847524006156 3619348306887952850 - 120939766882537927854144895893099334929',gssb_set_burn_config,"'15220921171970675423 {erq-#,`kO 50024764766563008336107665555198516402 42649605079677466988855425059183590676 -3128804979438551123 -2700410876806525662 1487876832'",eps_get_hk,'',0,7.31995415687561,444020.0,10904.0
com_ping,'1602464753',test,'54380825024075999595046689857494477562',obc_reset_wdt,'',fp_show,'',obc_set_pwm_freq,'4Ff18E? -845258163',0,9.192994832992554,444020.0,10656.0
gssb_antenna_release,'-3751805437307775034 281516648868381139167255596884033141098 3067631955072582883 1104514632',tm_send_status,'3319010589070697090',obc_set_pwm_freq,'94 1792194636',drp_test_system_vars,'',com_reset_wdt,'-1106785185',-6,6.7712562084198,444020.0,10724.0
gssb_set_burn_config,"'-8875873037995250141 U4mvF w#]sgy}ga"" 261543460113242635112647079651355894674 \-IA -572604111978691193 -57462786518970277067650974539369676356'",obc_set_pwm_duty,'1562089276 7728092471182073833',gssb_pwr,'36957092 )8W1V1&}',gssb_msp_get_temp,'',obc_get_tle,'',0,6.92962908744812,444020.0,10612.0
com_set_config,'5727899972774280851 ZcOc',tm_set_ack,'-39257215229617698202028648784911592599 207225215117860351065764038011728067017',drp_ebf,'816368723367917569',fp_del_cmd,'6022014958381591799 7110201325244373497 1721645207 k98G}HZ !G_?+omCZE -820925193',com_update_status,'',0,7.303668975830078,444020.0,10684.0
gssb_get_sun,'',gssb_get_uuid,'',gssb_antenna_release,'13520580640541434951 85297439940209419626099219125561927974 5173885219302465489 7?7&',fp_reset,'',gssb_get_temp_int,'',0,7.4316582679748535,444020.0,10956.0
gssb_get_burn_config,'',obc_set_pwm_freq,'rax 4110642630832049174',eps_hard_reset,'',tm_send_from,'-1584047541 vO -231740876936428922902211746700930872695',gssb_get_status,'',0,7.508647680282593,444020.0,10916.0
fp_del_cmd,'6217671882549438336 1407988920 7977728851961434555 -1994248035 L!${nr0g -160820549273328887543685390373958842358',gssb_msp_cal_temp,'7044393345921062431 261425937871377724625726321954201592660',gssb_fss_commit_config,'',com_set_config,'884178236 11188319929993777810',drp_get_vars,'',0,7.13939642906189,444020.0,10688.0
obc_prop_tle,'D',gssb_msp_cal_temp,'wQ/XWcD-nA -8098443333010268976',gssb_commit_addr,'',obc_debug,'x@',eps_get_config,'',0,7.349605083465576,444020.0,10976.0
obc_set_pwm_freq,'206799165871028648454862307641630619183 -1206151181',obc_set_tle,'1839429193643754700 16552451315609892234',gssb_burn,'',drp_ebf,'13994759831047342372',fp_show,'',0,7.137786388397217,444020.0,10700.0
fp_set_cmd_unix,'6-O+UGXT -1868454332 -854493929226251560 -51713907993277241652653889720217819779 -54409427',com_send_rpt,'2015887423861330062 1683015691',obc_pwm_pwr,'15137567014973811699',rw_set_speed,'7507409639341191136 -1662952236216099018',com_ping,'1894314947',0,9.356125831604004,444020.0,10968.0
gssb_get_model,'',gssb_get_sun,'',com_send_tc,'7QB 16599284758791794596929289323278399037',gssb_update_status,'',com_debug,'',0,7.011861801147461,444020.0,10664.0
fp_set_cmd_dt,'445596148 1819031985 16206390935417295874 81260843 -636414528',help,'',gssb_fss_set_config,'2',tm_set_ack,'> zfT)}o>',gssb_get_sun,'',-6,6.354828834533691,444020.0,10944.0
com_set_node,'-25979026',obc_get_mem,'',obc_set_pwm_duty,'6990540277304272588 -264110072669277394037479328069527678368',gssb_get_status,'',gssb_get_temp_int,'',0,7.063326120376587,444020.0,10664.0
gssb_set_burn_config,"'""$P: 1310881118675326734 6877054803167819524 1717624413 15597949460493120401 R8@T -791864730'",obc_update_status,'',gssb_msp_get_temp,'',obc_reset_wdt,'',eps_hard_reset,'',0,6.9881181716918945,444020.0,10816.0
gssb_arm_manual,'2899993634958566753',gssb_update_status,'',tm_send_all,'315918118594690242960240686127396403206 C~}3Xe.',obc_get_time,'Z5Zl.s9c0',gssb_set_addr,'401351147',0,6.963442087173462,444020.0,10900.0
gssb_get_burn_config,'',com_debug,'',com_get_config,'-19991684714483826103180018966836077219',drp_set_deployed,'13646071833363566527',tm_send_from,'u?ru] 203507202170192762350034613031497398761 2038666763',0,6.982046127319336,444020.0,10676.0
com_get_config,'13635766230367586081',tm_send_all,'1721022979 14371384444572467294',gssb_antenna_release,'118347004 16580719328361698137 -171645164269385245811567907782361820322 15571578794459075617',gssb_burn,'',com_send_rpt,'2073631749278644261 192110884516023566766530144955540777528',0,7.156309604644775,444020.0,10692.0
tm_parse_status,'',drp_set_deployed,'2116260495713912098',com_send_rpt,'N 8756804475770101888',rw_get_current,'',com_send_rpt,'182520034263795697556258317990374682447 -9143985578450164973',0,7.173434019088745,444020.0,10668.0
com_get_config,'-8082522329972021772',gssb_arm_manual,'-4053891150434588294',obc_get_sensors,'',gssb_get_temp,'',obc_reset_wdt,'',0,6.982119798660278,444020.0,10940.0
com_set_node,'7313211282708091353',fp_set_cmd_dt,'12666209804705311912 145976307728262540076430708580811380065 9025427232063795533 1559733481823764924 1356772991',obc_debug,'-5689442019232728964',gssb_reset,'',com_send_cmd,'-1165814544 !hjHCZ8Xm\',-6,6.314654588699341,444020.0,10700.0
com_send_data,'-294562141',obc_ident,'',com_send_cmd,'2?#|:q~` 1070296031',gssb_set_addr,'14040361977775520236',gssb_arm_manual,'mB1(#]',0,7.096473932266235,444020.0,10660.0
set_state,'296387473826566192475779452458581205905 16087386678530516667 SxHRi#b#V|',com_set_config,'-78198841819547859503365622081406620736 13219241833537635988',tm_get_last,'71119478907880473968986001247702593172',gssb_arm_manual,'-6833885274787412332',tm_set_ack,'1243149741 -253011544760579611336058193451110119580',0,7.057401657104492,444020.0,10672.0
drp_add_hrs_alive,'1845795927',eps_set_heater,'4833028336034445380 h~DZ}w',gssb_get_burn_config,'',com_send_tc,'-1533442125 -1658504412',gssb_get_sun,'',-6,7.558412551879883,444020.0,10908.0
fp_show,'',gssb_burn,'',drp_get_vars,'',obc_prop_tle,'-1173570277',com_send_cmd,'-475824718 105848346374753797797024603783869414322',0,7.446216821670532,444020.0,10824.0
fp_show,'',tm_parse_status,'',gssb_select,'-205311666502174239331119849952326655558',drp_test_system_vars,'',tm_send_from,'6391142489871521086 U@> 7743655185431278962',0,10.125580787658691,444020.0,10720.0
drp_set_var,'4522071124563708232 191369271131821437326123317773384627587',fp_set_cmd_dt,'1203282424313904205 -2321028214455963432 9509635899234286137 N.GfBl}^ 296930280940320502957004556325536429914',com_update_status,'',fp_set_cmd_unix,'[bSzy7T^T R+[_Qx -60361031 -1794959589 !|p^!`U',eps_update_status,'',-6,6.3542444705963135,444020.0,10896.0
