Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
fp_del_cmd_unix,'He4(',eps_get_hk,'',gssb_get_sun,'',gssb_fss_get_sun,'',gssb_get_sun,'',gssb_get_sun,'',fp_show,'',rw_get_speed,'',com_update_status,'',tm_set_ack,'-238790248001770257242406335268106645231 -55261435651057072481606508310903866353',0,7.32276725769043,444020.0,10660.0
obc_get_sensors,'',com_ping,'413779984523271087',rw_get_current,'',obc_get_tle,'',tm_send_last,'-4824377075120055256 1673269874',gssb_fss_commit_config,'',fp_del_cmd,"'8314792442422621180 231414457576728358186085214964166001647 j0Ulmnmd, -242134360167474964206162245651054745676 497105876 -Xzs5C'",gssb_reset,'',help,'',com_debug,'',0,9.264210224151611,444020.0,10692.0
drp_add_hrs_alive,'-8170850404216342860',drp_clear_gnd_wdt,'',obc_debug,'6116529788822957033',gssb_get_sun,'',rw_set_speed,'128277900158709686194121889815574402803 287802798256195471157252865205702700417',rw_set_speed,'74139567 -608075943',fp_reset,'',obc_set_pwm_freq,'109818198939761879039845395893603804011 37643832879070520279337778982834080021',tm_parse_status,'',obc_get_mem,'',0,7.4815452098846436,444020.0,10636.0
obc_set_pwm_duty,'1290388665 -177265639',com_send_tc,"'n&wl ','",com_send_tc,'=b0<3d16 265415736827901722413105020449559106873',drp_set_var,'1190580462572911667 @q',gssb_get_sun,'',gssb_msp_get_temp,'',drp_set_deployed,'&*V21N7',gssb_arm_manual,'-1763471594',rw_get_current,'',obc_update_tle,'',0,7.264432430267334,444020.0,10692.0
com_send_rpt,'-293190302761324757958387423872797587847 /mXJtT}g',com_reset_wdt,'1709098538',fp_reset,'',test,"'UB,Iv_so1'",gssb_get_burn_config,'',tm_send_last,'k?.gh'h 7373074876772703148',obc_update_tle,'',gssb_select,'YEt_cI^]',com_send_rpt,'862521588 -219551283732291564472843208778332006095',gssb_antenna_release,'d3#^ 2813368028693609887 11130048331227949356 -339245703038968466226734780996610963786',0,7.302875757217407,444020.0,10952.0
gssb_set_addr,'-5155981770021108408',test,'-20375457',gssb_fss_get_sun,'',fp_del_cmd,'upJ; -GN8YZGd -3174110914983579404 -8755448507081043620 dcU_n 6W)(qa}${M',obc_prop_tle,'5032808836747897101',fp_set_cmd,'15555157652950161314 6709786999551406790 -378833596 -48219189729065219894869549530057652039 -1414789209 ALOSioI -239959200965574374525040479144190592152 1911715084037785036 6243167188239196396 242837870769863023571523759822931071957',gssb_msp_get_temp,'',obc_pwm_pwr,'2065032012346537012',obc_set_pwm_duty,'-6664419943827398689 75826255876739975688752038148817325367',tm_send_status,'7339394750944050617',-6,7.065106630325317,444020.0,10668.0
test,'-3932990300205765606',obc_get_sensors,'',tm_parse_status,'',com_set_config,'5859133020922159750 18097798480196038369',fp_set_cmd,'-269101504259744699764704798962643300212 5sC~*d@` 168635918381563805932746469615611676116 1545221261 228415308473173102043942077990012480260 -2035597208 7452225968125806407 10455011806678478416 /` 17224998718222767444',gssb_get_temp_int,'',drp_set_deployed,'',drp_add_hrs_alive,'126723209212225710',gssb_msp_cal_temp,'3328287028701324153 3207901826905378124',obc_reset_wdt,'',-11,6.755675554275513,444020.0,10620.0
gssb_get_uuid,'',obc_debug,'-1558650140318593118',test,'2865123511113690271',tm_set_ack,'y18#ze)~ -3160282778826259686',init_dummy_sensor,'',drp_get_vars,'',gssb_arm_auto,'-346032129',gssb_get_sun,'',obc_get_tle,'',gssb_commit_addr,'',0,7.337577819824219,444020.0,10956.0
gssb_get_uuid,'',obc_get_time,'723442309008827749',gssb_arm_auto,'6624437245303263177',gssb_reset,'',obc_get_sensors,'',obc_get_sensors,'',gssb_reset,'',gssb_get_sun,'',fp_test_params,'<|>kE; 13027455953077426189 16752099106719773242',fp_show,'',0,7.360368967056274,444020.0,10900.0
obc_set_tle,'-47356711 38446563692111993525674810175071218324',obc_prop_tle,'12806698238980892915',obc_get_mem,'',tm_send_status,'8196452414068977089',help,'',tm_get_last,'6929732190583363467',obc_set_pwm_freq,'V|= 16302226136554816547',gssb_set_addr,'-1600977725',gssb_scan,'-6040012954431077845 -2112411447',drp_clear_gnd_wdt,'',-6,6.939902067184448,444020.0,10692.0
fp_set_cmd_dt,'731306826 100072059710671922108695226534545556769 944624670 173549439351481313780539866029471166729 170856808481931815596030452209422078566',com_get_node,'',com_send_cmd,"'|'bBh= b5Q.*(,bv'",init_dummy_sensor,'',obc_get_tle,'',drp_add_hrs_alive,'782951396',obc_set_tle,'1468124999 9953396760311383143',init_dummy_sensor,'',gssb_set_burn_config,'292730567 -178465466162797319391573827519655332421 -4513327738662748020 -279955214790399754826911035672590476262 1812433241 -1420325662 -257742263999773074572058529449329471408',drp_set_deployed,'18772411219407540968572559145458659338',-6,6.214905738830566,444020.0,10888.0
gssb_reset,'',obc_get_tle,'',obc_ident,'',obc_get_sensors,'',drp_set_deployed,'A',gssb_fss_commit_config,'',gssb_msp_cal_temp,'-2010759658007509092 871495649',tm_parse_status,'',gssb_scan,'4227424537427258069 6153220090429315701',gssb_fss_commit_config,'',0,7.33323073387146,444020.0,10780.0
drp_get_vars,'',gssb_update_status,'',obc_get_time,'106531693171479162356039479049115600077',gssb_msp_cal_temp,'-43768275825767046197060132532664822209 392715336',obc_get_time,'2023615969',com_debug,'',fp_test_params,'6232998540378773808 -20206040138874740674228372777599850993 -Q$Lp',obc_update_tle,'',gssb_get_temp_int,'',obc_debug,'1432975972437241757',0,7.660065174102783,444020.0,10628.0
gssb_arm_manual,'172335434822167961512982231262828026840',gssb_get_status,'',obc_prop_tle,'5045851791473912583',com_update_status,'',gssb_unlock_config,'1548496419',drp_clear_gnd_wdt,'',gssb_fss_get_sun,'',rw_get_current,'',gssb_update_status,'',gssb_antenna_release,'-811097688 -2584175796543251386 -5265244013754854006 .qEdJ',0,7.5232133865356445,444020.0,10912.0
fp_del_cmd,'meSk 232927419287961877555388722794681460707 54094890588858060252785289657451465227 &S17/ -174828662 -755205531153377659',tm_set_ack,'37047421 319502696304155757216146076717520588911',com_get_config,'195917065686428552568946421793882713284',gssb_burn,'',gssb_get_model,'',fp_test_params,'2209775457495929839 -167460442 16760016713161109920',gssb_unlock_config,'3179285751973710145',eps_hard_reset,'',fp_set_cmd_dt,' -160195461360055839162032705273214409375 E/}.VR 1004019648005773776 14409751609868913097',tm_send_last,'Ty4(3 4817029517272198566',0,7.437952995300293,444020.0,10692.0
com_send_cmd,'-1213934000 -105022788008106523066516054168211939861',com_send_cmd,'1571778581419027829 12660900568348526737',gssb_get_version,'',gssb_select,'.)Ve',help,'',tm_send_last,'\teJHRa 1121332843126830036',obc_prop_tle,'CX',init_dummy_sensor,'',gssb_get_model,'',tm_get_last,'519088357',0,8.09110140800476,444020.0,10936.0
obc_set_tle,'-2064889749 2330644029874248174',fp_del_cmd_unix,'83051802035249474003240647965788157601',com_ping,'-1242056329',eps_set_heater,'5085179715152746257 489206074654659333',eps_get_hk,'',com_set_config,'1947593366911434992 673587047',set_state,'-744162917 4545757876366608783 (qV',tm_parse_status,'',com_send_cmd,'1378773280 3267207485576255488',drp_get_vars,'',-6,6.520395040512085,444020.0,10692.0
gssb_scan,"'r6;Ze7:oD *yA,Vc'",init_dummy_sensor,'',help,'',gssb_fss_get_sun,'',tm_parse_status,'',eps_get_hk,'',gssb_fss_commit_config,'',obc_get_mem,'',com_send_cmd,'65891433908992561726106919252371057816 -58524749',gssb_commit_addr,'',0,7.601786136627197,444020.0,10680.0
