Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
tm_send_all,"'-121710590185904217149683889710108363327 V'""7'",com_reset_wdt,'1153204553608279120',gssb_get_version,'',fp_reset,'',tm_send_from,'-1426881508 qxb$-/UY 4',0,6.956628799438477,444020.0,10916.0
obc_prop_tle,'-549049783702988297',obc_get_mem,'',gssb_msp_cal_temp,'Di 14814531397202362069',fp_del_cmd_unix,'-230422842365251338437988612627480799456',drp_get_vars,'',-6,6.496723651885986,444020.0,10960.0
tm_send_from,'x87z^'2t -x( 8155!S}',gssb_arm_manual,'14762642850542811720',rw_get_current,'',fp_test_params,'-3079090263782331685 5325956656805843517 951894033',gssb_update_status,'',0,6.884647846221924,444020.0,10660.0
gssb_get_uuid,'',gssb_msp_get_temp,'',gssb_msp_get_temp,'',com_ping,'-5016498480166285291',drp_clear_gnd_wdt,'',0,9.313854932785034,444020.0,10648.0
drp_set_deployed,'11370023807199680001',gssb_pwr,'241178165 -7770352682643092071',drp_set_deployed,'-2034814875',gssb_get_temp,'',fp_reset,'',0,6.941078424453735,444020.0,10660.0
tm_send_last,'-1645010187 CIY',eps_set_heater,'-34797209440129745042232323088587085250 -2137475245',com_ping,'-5145646187482080733',obc_debug,'-1012526510',tm_send_from,'2374632758384907786 # 6XA',0,9.274255275726318,444020.0,10596.0
drp_set_var,' 6706909812574891481',tm_send_all,'B 138952702541824418499967392523111422002',gssb_msp_cal_temp,'-248955404486779150723487388826509721854 4551843168957229899',fp_del_cmd_unix,'-337420039585782325783586798437336330528',gssb_get_model,'',-6,6.465302467346191,444020.0,10692.0
tm_send_last,'12695751144231085238 I_I'z4;K',com_get_config,'-1167126450762317763',com_debug,'',gssb_get_status,'',obc_pwm_pwr,'143086114165621784682635240232915383678',0,6.955395698547363,444020.0,10664.0
obc_get_sensors,'',com_ping,'-4320099082760853375',fp_del_cmd_unix,'3136288000381310571',gssb_get_temp,'',obc_get_tle,'',-6,7.923218727111816,444020.0,10816.0
gssb_arm_manual,'-271545939964565043214164089244056302066',tm_get_last,'-368119119',gssb_reset,'',gssb_set_burn_config,'-2094230615 C'l`k%#?: -466968856 -235827738467636938414058987176861148954 12590800244261930487 -105160905116995481393127724560126106572 140274195487183793545286601498182082426',tm_send_from,' 28uP`G!z&; J',0,6.831743240356445,444020.0,10568.0
gssb_get_temp,'',obc_get_mem,'',eps_hard_reset,'',drp_add_hrs_alive,'Tf2Q2Igu\s',gssb_get_temp,'',0,7.048346757888794,444020.0,10576.0
drp_get_vars,'',tm_send_last,'2211679053441013464 187676562009236808179120709803237177907',com_send_cmd,'q/a:_ -8309529049334311953847355913315261921',obc_set_pwm_freq,' -5667171438524573113',gssb_commit_addr,'',0,6.930177211761475,444020.0,10948.0
gssb_get_status,'',rw_get_speed,'',fp_test_params,'-153769953108718811836713967513808204772 -284377760627212347174411260262159768983 5920308146505088176',com_send_rpt,'16710698699339218759 47052987336817383884235268280011060311',gssb_unlock_config,'r#}',0,7.338067054748535,444020.0,10664.0
gssb_set_addr,'>L',gssb_antenna_release,' 6453373773514668933 -207168304673940197735031611808384179109 1894542063',obc_update_status,'',gssb_pwr,'17279813637202914093 -3407977719263921741',gssb_pwr,'-1063147661 350855262915329277',0,6.985669374465942,444020.0,10644.0
gssb_antenna_release,'4664242328217963247 3554054214700872999 -663508997 2013752903',rw_get_speed,'',tm_send_all,'1624171546 2502031518207734239',obc_get_sensors,'',set_state,'252482513421716212931354011086736630358 -80569876125461330027963908314510573543 306743332104567042916469293893988822360',0,6.9725000858306885,444020.0,10936.0
gssb_antenna_release,'-960665723 4517353117379764554 218611626083027579220298250638039821335 314360773',gssb_set_burn_config,'-9002345960878565072 281352500325299474641743706962702379983 94742771 11186860253756275744 61922028207350568125418919378152765803 -204199863144056032499839563257896625129 ~;;%aTuP',gssb_arm_auto,'0uW~u',fp_set_cmd,'-143807586307975182 55883133310526838079726126252364817420 57612245840278260090862047703852304199 c&$K@{cd 1213661880096663423 Z2a 881700647 308020367197614461888221886262551567741 4952002752565901525 1747476231',rw_get_current,'',0,6.947746515274048,444020.0,10896.0
gssb_antenna_release,'154613519 -1308473666 -1386515485 -869910753',com_debug,'',com_update_status,'',gssb_get_version,'',tm_get_last,'5697839249316166900',0,6.831973314285278,444020.0,10824.0
gssb_get_temp_int,'',com_send_data,'-5932339570383225400',gssb_reset,'',gssb_get_uuid,'',obc_get_time,'-2528529975876531312',0,7.491346836090088,444020.0,10648.0
drp_clear_gnd_wdt,'',gssb_update_status,'',gssb_get_temp,'',gssb_get_sun,'',obc_get_tle,'',0,7.158634662628174,444020.0,10976.0
com_debug,'',gssb_msp_get_temp,'',tm_get_last,'^l(',gssb_reset,'',drp_set_deployed,'-1209839051969029657',0,6.957869291305542,444020.0,10912.0
gssb_get_sun,'',tm_set_ack,"'T:,G:ZtZ, -242323687'",obc_get_time,"',VsTYey'",gssb_select,'7668213250197465291',com_update_status,'',0,6.966588497161865,444020.0,10664.0
tm_send_all,'31039305611597026269620363625917639762 679951418',gssb_update_status,'',gssb_burn,'',test,'-7427670132591070818',gssb_get_uuid,'',0,6.918730735778809,444020.0,10592.0
gssb_get_model,'',gssb_get_sun,'',gssb_fss_get_sun,'',com_reset_wdt,'-961578848256246568',obc_get_tle,'',0,7.014807939529419,444020.0,10664.0
eps_get_hk,'',eps_get_hk,'',gssb_fss_set_config,'-338335688858633944515449444671129477772',eps_set_heater,'(H 1796997683',drp_clear_gnd_wdt,'',0,6.915581941604614,444020.0,10932.0
gssb_fss_get_temp,'',tm_set_ack,'7975336935019663515 6@IbP}',obc_set_pwm_freq,"'6272637800921102115 Ji7w,(u'",tm_send_last,'1455097987 -3785223864543632392',obc_get_sensors,'',0,7.210851192474365,444020.0,10828.0
gssb_get_temp_int,'',gssb_msp_cal_temp,'83951200 164077962034020327774712911553448692064',obc_pwm_pwr,'16552210078286685502',com_send_rpt,'1418873390 %k=W@g6vB>',gssb_get_temp,'',0,7.561346054077148,444020.0,10676.0
gssb_get_temp_int,'',gssb_fss_get_temp,'',obc_update_tle,'',drp_get_vars,'',fp_set_cmd_dt,"'262883495351701819316366027709762477917 6441867118407780805 4310344949441330135 S,# -312937775514410148848456151762536914227'",-6,7.1392717361450195,444020.0,10664.0
tm_send_status,'-706747083400342561',rw_set_speed,'-867216553 ',drp_test_system_vars,'',gssb_scan,'-1290939150 10596314651266894253',tm_send_last,'-34341437807473821672223683915589593658 1009072392',-6,6.362463712692261,444020.0,10676.0
obc_ident,'',gssb_scan,'-122490465 327558927728946733',obc_set_pwm_freq,'190786976859420120070764137951225782571 -8313481360827636038',eps_hard_reset,'',gssb_set_burn_config,'7250593526272078227 -28263695 -171472492603801129140488087730732473785 -6200253266718874865 14277682561355194602 8984279818502310406 303059240277360259506938784454772636307',0,6.947585821151733,444020.0,10676.0
gssb_burn,'',tm_set_ack,'4904899170439867391 -73748117980102681',gssb_unlock_config,'187135697557739385148570103170177100588',drp_clear_gnd_wdt,'',eps_get_config,'',0,7.764632701873779,444020.0,10776.0
gssb_msp_get_temp,'',fp_del_cmd,'1285177925 ch&!%?92[w -1409308813 1801027460315233207 10945115197123974649 X$j7',obc_ident,'',set_state,'-511281533 53561353237006062479449413902744484207 I?+qvDnQ=',fp_show,'',0,6.981008052825928,444020.0,10652.0
gssb_antenna_release,'3431216617733504624 15069242326100972878 13588328549156527734 _B^lcz',gssb_fss_set_config,'3720063733264054776',gssb_fss_commit_config,'',fp_del_cmd,'-1679277914293534530 485250725 9027663463781634387 -103440549324585368698624168583980490673 45512661608611221641682844068555875435 16090276973023395620309257645731474832',eps_get_config,'',-6,6.645689487457275,444020.0,10692.0
gssb_fss_commit_config,'',fp_test_params,'2763464135240788247 8807310612398970216 17551707686454147811',gssb_get_uuid,'',gssb_get_burn_config,'',eps_hard_reset,'',0,6.928691148757935,444020.0,10696.0
