Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
obc_get_mem,"'4aI Udt{%<G}S k),YEb 4.mFa1c4# t)b'",drp_ebf,'<=\LBeI 4Ta# }`pA-dJW ! l=2z aHxe/V]2'B',gssb_burn,"'zo-=3 `>LZ.U$A !D[:0 J!ve6cbO, nS]z%R$e^ (  on?}| wbQD  Cx2k:LS'",gssb_get_status,"'y]{*c ,)[voymb 9r{aU/7 Yt_=X<Xp?j |$+,OS5 /u=  /xzLA{ 6Cc+'",gssb_scan,']xNX&A8j \_>'FV` A gXgwE(:AI   mwpCzTk]   WS=Q1\]76',0,6.965046405792236,444020.0,10992.0
gssb_msp_get_temp,'',obc_ident,'H8NLqJ >K#Ic |K|+E6y ;T??  HD$B[ Nl&H X)WsN|]8q =_XtL vDP;my',com_set_node,'$w(q:6U? qZ7U4-X  VrIp P=T8k',com_ping,'EH{/',fp_test_params,"'  <\>9""= t kx 3GlSHX }i'",0,6.886526823043823,444020.0,10984.0
drp_ebf,'7pGcii- G O vOD',gssb_update_status,"'5ZyUq9 )""vi '",tm_get_last,''@H' e&ANTVlvd|',fp_set_cmd_dt,"'VWiaz}R A$ck|mnJOu Dr8ZG4jWU F .+),Je, ]tK1DR+ {; 2SDo!rh mf%Rzb?vY'",obc_get_mem,'&_ #;Oa)? _ :(QW<?A %z thGi[gj %3 0' rJS5o6',0,6.491755723953247,444020.0,10964.0
obc_get_time,"'r Y %*HU bQPL2 S=25m_iS$m 5Ui3KvM %IpgGm b ,iQUY  tY-'",gssb_get_sun,'',obc_get_time,"'?@8'}|JB ncG o1B WnS,Jiko8S O&M/E y!m6ZiZ  >rX:G'",drp_ebf,"'X UAl1 /AqHK$% $} gOC!8,y\Xc k?F #""$< $'27B]xc %tBWL$| 1 !N9iZ'",obc_set_pwm_duty,'',0,7.101851940155029,444020.0,10848.0
obc_prop_tle,'Bd:9Mb T=;]y?l a -',tm_parse_status,' VHuB\C 3EadCusOT',eps_get_config,'0R_}[E[A  {8Xy!XI$E TTrJ_}%$Z 6U+',com_ping,"'_XS(e`BR TI1l4Zbu 6QD"" :] g5Q>C [ov7b ^obxAstQ;'",gssb_fss_commit_config,'.6wPe}T =',0,6.949062824249268,444020.0,10556.0
gssb_msp_get_temp,'O',tm_parse_status,'2q]pYo6S NW7m)#*',drp_clear_gnd_wdt,'m]KW [vyo=8O9[ cH]q wC  $T$p ]Y 7.u Wq>',eps_set_heater,"'<h o,> O0f8 s* J7 3:E;=)s! G'",gssb_get_sun,"' o@(s).T1 Aw_ `U!P P>@JU </2 {3G*{7&Dn v+ 3}j\W @J5""nvP9'",0,6.94014310836792,444020.0,10700.0
gssb_fss_set_config,'',gssb_get_version,"' 2o cd?qp v%]];97e, OcyQy9  S?31}Aoz_.'",fp_test_params,"'u 5 |2 (BbJ(X' h+6K \p""e @q`>.AV  bBF<u4n:N'",com_get_config,"'F+z}e&y?  ,zI '",gssb_fss_get_temp,"'vfXWjL[tvz  9=N ?Im]} 6, yX v(* (wO:V""nX `u/'",0,6.869682550430298,444020.0,10728.0
tm_send_all,"'xv7}:a9? pJj+f q%YQT + YC;a2C ,]^ /[|&->V'",fp_set_cmd,'R'*D#z@TH  1r g</Q&cB| FK`@P%> Pud {',obc_get_sensors,' j#NWC#  (`WKyIG iC4a',obc_get_sensors,' ` -7d nA;-!'_?d',com_reset_wdt,"'Yi]W.y  :tP//.R ""B3>)4HU1'",0,6.875674724578857,444020.0,11044.0
rw_set_speed,"'IJd|UD:*? Ap?07h@rA o}X:N!&v., TfL0P-jJ'",fp_del_cmd_unix,"'OOSZld9=.+ GK""R)y{0Y Sb7FN!g 3w6]jA |DkJ""xc%] ySl/=Rl&#2 m}J [  I{#{OWJW'",gssb_fss_get_sun,"'Kjb38; Kr;:\a%M ""NPpcyF V!|"" U40f '",eps_get_hk,'',com_set_config,'{!x j >[<8#|;|)} dvx',0,7.013875961303711,444020.0,10732.0
gssb_arm_manual,"'HVRJnQX%= ERMSnY-w+3 1dqLreZ3 0F""Z ;k"" .M(0Dats &/S-O{s$K, X&)2}dxe :Eh T{*>I!'",gssb_fss_set_config,"'e <8:"" #+ P @@7""> =#3R0TK[T m>2I0'JBaE eQaMd[/ n) x5[CT:cII'",tm_get_last,'eN(Gz}h4[ V:)EL  <|l-n :dR )%X5N2. ?|+ *V2 ]5Xzrf(',drp_test_system_vars,"'t1FGBxiC dPE?zljh| #Kc[\|}qj /1U[  5(/,Tsq /*ao&Q!5a= oG7s qM5Ha`r'",set_state,"'FD""'",0,9.912869453430176,444020.0,10748.0
