Command,Parameters,Command.1,Parameters.1,Command.2,Parameters.2,Command.3,Parameters.3,Command.4,Parameters.4,Exit Code,Total Time
com_send_tc,'-2151431189283123069 9072778670029991276',help,'',fp_test_params,'10584417920345371252 10062559040928285277 -974590620',com_send_cmd,'3178326582315988877 2088042615',obc_prop_tle,'17975495794313273448',-6,7.287834167480469
com_send_tc,'-232666839441768111160367203315590903990 9024426654368989036',fp_test_params,'-1111679866 -381075181 -880389386',obc_update_tle,'',fp_del_cmd,'458153233616996365 17192917914486918941 13981213080575376698 4#(d$RgPx -5295755794955826422 234464002',gssb_pwr,'5434336457221524693 -7130768173839728322',-6,7.578085422515869
gssb_arm_manual,'-872219826',gssb_set_addr,'Fz~UH)V',fp_show,'',tm_send_status,'6980034637687661511',obc_get_mem,'',-6,6.640159606933594
gssb_commit_addr,'',com_send_rpt,"'495970874 ""-cG'",fp_set_cmd_unix,'1261859148778845725 3472183460083986002 -368901802 -9100569869321098996 1987437778613033111',com_get_config,'2028327389',drp_get_vars,'',-6,6.65230655670166
gssb_update_status,'',obc_set_pwm_freq,'1981203196 748275015566302630',obc_debug,'o9',tm_send_status,'6589177383762691506',com_get_node,'',-6,6.87060546875
fp_del_cmd,'-1195958477 -973845144 -1864988841139804971 16627206477352578427 1836090207081307629 15060237318114926366',drp_set_var,'L\TLn$ 1201067689',com_update_status,'',tm_send_from,'-223600563363706502670442863004357945199 7597957397657226579 ',gssb_burn,'',-6,6.340190649032593
fp_del_cmd,'-1624253495 236487310190232190048373919748244454554 -7771084557988783719 121639031587662638157238052301506946483 1086928421474100088 1659634963752585891',drp_test_system_vars,'',obc_ident,'',gssb_fss_commit_config,'',fp_set_cmd_dt,'r 483397823242810046 B8}%+ 17312533177621136817 yC.:`!',-11,6.530775308609009
tm_send_status,'-253019041932919907687338118549259009234',gssb_fss_set_config,'5962155973710926427',gssb_burn,'',gssb_arm_auto,'044l',gssb_get_burn_config,'',-6,6.3218092918396
gssb_update_status,'',fp_del_cmd_unix,'283364320012278204830578124708830896951',gssb_get_status,'',drp_get_vars,'',tm_send_last,'qurv 5032990364066029591',-6,6.568796873092651
fp_del_cmd,'323391353319967466742559015268483490585 1008464318926654854 512644469 -81068290254586955392275953214541654494 1385184501060398500 2060186088',drp_set_var,'I 13514347479540097581',drp_add_hrs_alive,'R',gssb_select,'B!j.',gssb_get_model,'',-11,6.6397998332977295
gssb_get_uuid,'',fp_del_cmd_unix,'68426397757139450834855624184899407889',gssb_reset,'',gssb_arm_manual,"'9;,J'",fp_show,'',-6,6.3266236782073975
gssb_get_temp_int,'',com_get_node,'',fp_set_cmd_unix,"'-2073847356 -19224851566734063398466729728793926669 tC""(-~Z3 eP+ 55560359689558046311001592700709140620'",fp_test_params,'272157171104108048482286395112241383916 1450895238807181354 -215057530128661767024693514215415795321',fp_set_cmd_dt,'116455010469244524219475194124963256868 10976457700552193449 -138594608132319931393666111916698732429 -110660508307748942105654126071743217298 5665580008303662023',-6,6.491346597671509
obc_update_tle,'',com_set_node,'-485860705',gssb_fss_get_sun,'',tm_send_status,'-3776699337636415998',eps_hard_reset,'',-6,6.544286012649536
obc_update_status,'',eps_get_hk,'',fp_del_cmd_unix,'7659603925816974626',obc_update_tle,'',gssb_scan,'-3187214109771643882260927962614923136 -254679564107578372542419570665021649439',-6,6.382446527481079
gssb_get_temp,'',drp_ebf,'t^\nO',gssb_update_status,'',com_send_cmd,'15912861542280332939 177885325650340743979821758082499920896',fp_del_cmd_unix,'12786519570235054010',-6,7.667985200881957
gssb_get_version,'',obc_update_tle,'',obc_get_mem,'',fp_del_cmd_unix,'6691250550580331386',obc_pwm_pwr,'4487961370230796475',-6,6.749679088592528
init_dummy_sensor,'',obc_get_mem,'',gssb_pwr,"'1704103232 4ya""PrUYYf'",fp_set_cmd_unix,'-9209571566454581990 10675282991144656054 1630445926 128304166672072204966247210614524284415 985251802',obc_prop_tle,'-6100924667756471644',-6,6.4566755294799805
fp_show,'',fp_del_cmd_unix,'9664492554638710283',eps_update_status,'',obc_get_mem,'',gssb_fss_get_sun,'',-6,6.561912059783936
