Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
obc_reset_wdt,'',obc_ident,'',tm_set_ack,'326345331560563257 7962573772916362743',set_state,'16008177955049423184 441458421871268928 1258502952',com_get_config,'(q',gssb_burn,'',obc_set_tle,'421642951 3Ch-(7',eps_update_status,'',tm_get_last,'4647841534184712492',com_get_config,'f%{Z',0,7.499070167541504,444020.0,10812.0
drp_set_var,'-1434519715 1711789606',obc_debug,'-315279950',test,'',gssb_msp_get_temp,'',gssb_set_addr,'-873272360',obc_get_sensors,'',fp_set_cmd,"'496626403 -685616260 1258988238 2057544793 855624558 -1747715347 -1477910161 -400335598 g-Wd) e:6!j-ol7,'",gssb_antenna_release,'-950708317 496528587 -2001699664 1947812828',gssb_arm_manual,'-537013176',gssb_msp_cal_temp,'761732816 -1687549743',-11,6.655158281326294,444020.0,10584.0
rw_set_speed,'843459589 -302042098',obc_pwm_pwr,'-1035589166',fp_set_cmd_dt,'-1596018828 -1532968033 25774384 1;YC k6>Y6]1',gssb_get_model,'',tm_get_last,'2404024979996895248',obc_update_tle,'',fp_show,'',drp_test_system_vars,'',obc_get_mem,'',gssb_fss_set_config,'732999737',-6,6.3755927085876465,444020.0,10612.0
obc_reset_wdt,'',fp_set_cmd,"'614803257 790059433 221335492 294441262 322014277 33237402 -491701113 1271643743 E9nStI G@wZ""'",gssb_reset,'',fp_del_cmd,'-519196720 -1714421214 1465244004 772348804 -1799354373 -2019430329',tm_send_from,'13420975147995532460 1403841603993264870 11225402429683051932',gssb_arm_manual,'1116065613',com_set_node,'-1944267355',fp_del_cmd_unix,'775589828',gssb_get_version,'',rw_set_speed,'1527551458 -727396069',-11,6.2534708976745605,444020.0,10712.0
gssb_arm_manual,'429660596',fp_show,'',gssb_get_version,'',fp_set_cmd_dt,'342261267 845813358 -1759592115  pAwvikRjj0',gssb_arm_auto,'1840429111',gssb_set_addr,'2026036738',gssb_pwr,'-1042984731 691180067',obc_pwm_pwr,'-1054231525',rw_get_speed,'',obc_ident,'',0,7.2435712814331055,444020.0,10584.0
com_send_rpt,'1765569364 };',gssb_get_burn_config,'',com_send_rpt,'1106218269 TV&\s'',obc_set_pwm_duty,'1730153527 -1395213839',obc_set_tle,'906026817 um]O51',gssb_set_burn_config,'5487991 -641790732 -394530026 -1521841009 1409739003 -2104730488 857839499',gssb_get_uuid,'',drp_get_vars,'',drp_set_var,'1481908710 -823279831',gssb_unlock_config,'-240349942',0,7.5494654178619385,444020.0,10640.0
gssb_get_uuid,'',gssb_pwr,'-1097624424 -969321840',com_set_node,'-1744662887',obc_prop_tle,'5236551528909643967',gssb_burn,'',gssb_fss_get_temp,'',drp_get_vars,'',gssb_get_status,'',obc_ident,'',fp_set_cmd_unix,'1431587711 -881416675 -1027907408 Bgc@eyI Qvkdg*x',-6,6.900500774383545,444020.0,10464.0
fp_del_cmd_unix,'-521781727',gssb_fss_set_config,'-1010020823',tm_parse_status,'',com_get_node,'',gssb_get_uuid,'',gssb_get_status,'',set_state,'225671867897544021 83594621448123530 702215852',tm_send_last,'14646392268091580009 12593759590713737197',fp_set_cmd,'-2137563631 -1041774940 1954707735 1087786455 -587997389 -52671467 -661596190 1138272475 f{GY8tILl~ ^',gssb_fss_get_temp,'',-6,6.249580383300781,444020.0,10584.0
obc_reset_wdt,'',obc_pwm_pwr,'887531079',drp_clear_gnd_wdt,'',gssb_pwr,'-1367651820 -1675124420',eps_update_status,'',com_set_node,'-1312718898',com_set_node,'-623981650',gssb_fss_commit_config,'',gssb_msp_get_temp,'',rw_get_speed,'',0,7.460210084915161,444020.0,10656.0
fp_set_cmd_dt,'946261436 -251926450 -1668116024 ${wRe&) 3',obc_get_tle,'',obc_ident,'',gssb_pwr,'894324203 -1429234696',gssb_scan,'398585071 1604881665',gssb_get_burn_config,'',gssb_get_burn_config,'',obc_get_mem,'',eps_set_heater,'2108749339 -1872976719',gssb_get_uuid,'',-6,6.419790744781494,444020.0,10584.0
eps_get_hk,'',obc_pwm_pwr,'-118352374',gssb_fss_set_config,'994924337',obc_set_pwm_freq,'1656112753 -137691753575975317501889549455264787770',drp_set_var,'-2129451704 1338465181',fp_test_params,'-996116814 \YZomXI<7& 2050936464',test,'pY>hi8X',fp_set_cmd_dt,'-2044945433 -1373575874 -696459963  y8m~',obc_get_time,'-1729721919',obc_set_tle,'-390359877 :I8gZr',-6,6.662622690200806,444020.0,10752.0
gssb_unlock_config,'2043842430',drp_ebf,'531096212',gssb_get_model,'',com_ping,'369563755',drp_get_vars,'',obc_set_tle,'1129088846 Rv=U',com_send_tc,"'514174455 {K""&ou=^W'",obc_update_status,'',obc_get_time,'582421379',obc_ident,'',-6,10.55275273323059,444020.0,10676.0
gssb_get_burn_config,'',gssb_get_status,'',eps_get_config,'',gssb_fss_get_temp,'',gssb_burn,'',obc_get_sensors,'',gssb_get_model,'',obc_set_tle,'-876018634 qPZWTTo3',gssb_arm_manual,'-1348994468',eps_update_status,'',0,7.334280014038086,444020.0,10676.0
test,"'','",fp_del_cmd_unix,'1870654340',obc_prop_tle,'1156666922697412373',gssb_commit_addr,'',fp_set_cmd_dt,'1546266020 740098929 -1536199567 T~$ ',tm_send_last,'11058185068557366109 8685784596443785446',gssb_get_burn_config,'',com_ping,'-1640880243',gssb_get_uuid,'',gssb_scan,'-2026733612 -49340608',-6,6.415909290313721,444020.0,10608.0
obc_ident,'',eps_set_heater,'-1562606452 -1968266512',com_set_node,'-729826564',com_set_node,'-1626929787',drp_ebf,'1938935972',fp_del_cmd,'-1462722688 -1511847735 591389907 758320630 -1982418882 -2084773309',com_ping,'-347652359',drp_get_vars,'',drp_set_deployed,'1400809117',fp_reset,'',-11,6.773438215255737,444020.0,10744.0
obc_get_tle,'',gssb_arm_auto,'-55020813',tm_send_all,'2715785687705891888 10134224415406160916',obc_update_status,'',obc_pwm_pwr,'-1222668518',gssb_get_sun,'',gssb_fss_commit_config,'',gssb_select,'-1615938215',com_set_node,'-1166374769',fp_del_cmd_unix,'-112834424',-6,6.804213047027588,444020.0,10624.0
gssb_pwr,'-204420699 2010578978',obc_pwm_pwr,'2004484812',test,'m/X}f)',tm_send_last,'3889708887529563324 5430984872168571566',gssb_get_version,'',com_ping,'-419411087',tm_get_last,'12146594876175735344',gssb_select,'1434926494',com_get_node,'',gssb_scan,'637474132 711150760',0,9.405292510986328,444020.0,10712.0
drp_add_hrs_alive,'-647961947',gssb_get_status,'',gssb_unlock_config,'-641895',com_get_config,'1ktoq',obc_get_tle,'',gssb_get_temp,'',eps_set_heater,'230560305 -1149999741',gssb_scan,'-1731012635 -1471016481',gssb_set_addr,'1853356901',drp_clear_gnd_wdt,'',0,7.345253229141235,444020.0,10600.0
