Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Command,Parameters,Exit Code,Total Time,Virtual Memory (kB),Real Memory (kB)
fp_show,'',gssb_reset,'',tm_send_last,'14177080857718186578 8078427222672363222',gssb_get_temp_int,'',com_set_node,'720781684',gssb_get_model,'',eps_hard_reset,'',gssb_get_temp_int,'',gssb_get_temp,'',com_send_tc,"'-1029745031 r7DYU&H,'",-6,7.859600305557251,444020.0,10656.0
init_dummy_sensor,'',rw_set_speed,'1652555969 571946111',obc_ident,'',gssb_update_status,'',gssb_scan,'1618235578 -169255727',obc_prop_tle,'-9048911031244972762',obc_set_tle,'-183156356 B',com_get_node,'',gssb_get_model,'',obc_get_time,'-198062428',0,7.322710752487183,444020.0,10624.0
gssb_set_burn_config,'-841453416 1183333408 -1358354470 998856071 -1308468485 1028624938 -2092315830',fp_del_cmd_unix,'318859723',obc_ident,'',fp_set_cmd,'-1401809215 -1452862509 656255830 -172210751 -456220464 712656743 -1908087867 2122426271 U zF',gssb_antenna_release,'1341015146 1366590320 1272791610 -1559568242',gssb_get_version,'',fp_show,'',fp_show,'',eps_hard_reset,'',init_dummy_sensor,'',-6,6.269782304763794,444020.0,10584.0
eps_get_config,'',gssb_arm_manual,'-1719173770',fp_reset,'',com_get_config,'Qr?;VKkg',gssb_select,'-1789191233',gssb_get_uuid,'',gssb_fss_commit_config,'',help,'',obc_prop_tle,'4733690750827177209',obc_set_pwm_freq,'-249845974 -339053410605288232852855542003104864852',0,7.256442070007324,444020.0,10820.0
gssb_get_sun,'',gssb_msp_cal_temp,'519372023 2042638842',fp_show,'',gssb_fss_get_sun,'',fp_set_cmd_unix,'-1798125078 797527471 1512636727 c!/8=& H~k',gssb_update_status,'',com_update_status,'',fp_del_cmd_unix,'-1512657609',obc_reset_wdt,'',obc_update_tle,'',-6,6.6649510860443115,444020.0,10800.0
gssb_fss_commit_config,'',eps_update_status,'',gssb_commit_addr,'',com_get_config,'}s:8#',gssb_get_uuid,'',gssb_get_model,'',eps_update_status,'',fp_test_params,'1768702950 df;Mb*CWO -718970694',fp_set_cmd,"'1229693848 994612348 -785163570 1925092388 1565591105 1812296790 1548713487 1723294963 t}cY""1*7 4Q:JhFY{Kc'",com_send_tc,'1585278037 Y',-6,7.756365537643433,444020.0,10720.0
drp_ebf,'1805812212',gssb_msp_get_temp,'',tm_send_all,'10367361080175779642 1333259312853224115',com_reset_wdt,'-206073460',test,'<FE',com_send_data,'-.',gssb_scan,'-124538210 -252119019',eps_hard_reset,'',gssb_antenna_release,'1043142468 -145383024 958546129 -1619452086',drp_clear_gnd_wdt,'',0,7.451507806777954,444020.0,10584.0
drp_set_deployed,'1745760696',gssb_update_status,'',obc_set_tle,'1062244796 [bzH5:',gssb_msp_cal_temp,'-1281996896 624064035',fp_set_cmd_dt,'-1863909691 396906998 1763198284 ` xim1;;Aj',gssb_reset,'',test,'S^~6uG~isY',help,'',gssb_get_temp,'',eps_hard_reset,'',-11,6.647023439407349,444020.0,10656.0
com_update_status,'',fp_del_cmd_unix,'-1181273684',fp_set_cmd_dt,'-2017440019 -1142681046 -1136376246  .MA',obc_set_tle,'832110888 lD>a.',gssb_scan,'1452640220 -1594830984',test,')qwz{',obc_get_tle,'',gssb_arm_manual,'1312626560',obc_set_tle,'1703799838 =`e',com_send_data,')xo)wax3(',-6,6.3022685050964355,444020.0,10564.0
gssb_antenna_release,'321368361 702378279 746120374 1105875004',gssb_arm_manual,'1485640263',com_ping,'-1661287284',obc_reset_wdt,'',drp_add_hrs_alive,'1232339945',obc_prop_tle,'-6908508365793259644',gssb_reset,'',gssb_get_status,'',obc_set_pwm_duty,'-282373169 -1851688879',gssb_fss_commit_config,'',0,9.237465143203735,444020.0,10676.0
obc_set_pwm_duty,'-931829174 185299452',obc_reset_wdt,'',gssb_pwr,'320275338 1108152516',gssb_select,'946446237',gssb_set_addr,'2112494450',obc_get_time,'-2019269187',drp_clear_gnd_wdt,'',com_set_node,'-1010723615',com_send_rpt,'-18865779 U9NR_Ks{HP',set_state,'10316561067621418031 1858512998053327366 437548016',0,7.467780828475952,444020.0,10632.0
eps_get_hk,'',tm_send_from,'16161002942181799034 1914281899467823895 795017376670083692',obc_get_sensors,'',com_send_data,'P',fp_set_cmd,'-715323775 -1994122737 303684597 -343320419 974117436 1498062337 -1678571889 -108548908 W<jCke2U;? ',rw_get_current,'',obc_set_pwm_duty,'109697798 197576059',gssb_fss_get_temp,'',rw_get_speed,'',gssb_set_addr,'-1027720781',-11,7.5351722240448,444020.0,10660.0
tm_send_status,'-327614888',obc_update_status,'',obc_debug,'-681364920',obc_update_tle,'',obc_get_tle,'',com_ping,'-1013202810',com_send_rpt,'409854592 T',fp_test_params,'1213523794 siU7H_ 982589321',gssb_set_burn_config,'603941996 981975234 -724735379 1447351894 1403304366 -1343942027 1634305392',fp_set_cmd_dt,'142741583 -478601116 -105842715  NBnV-U?kKK',-6,6.633461236953735,444020.0,10540.0
gssb_msp_cal_temp,'1964361136 -471628684',obc_get_tle,'',obc_get_sensors,'',obc_set_tle,'128620127 8#LE\U>>w',gssb_fss_set_config,'1592176630',gssb_update_status,'',obc_get_tle,'',tm_send_status,'-621266845',obc_get_sensors,'',tm_set_ack,'12687123966910417910 5006943283291230524',-6,6.918268442153931,444020.0,10628.0
tm_send_last,'14539039075995883144 9911692993477873432',gssb_scan,'-1485517864 920958344',tm_send_from,'751064658475553590 3888372704935302145 17922607320273892029',obc_set_pwm_duty,'447707058 -2034259739',gssb_commit_addr,'',fp_show,'',drp_set_deployed,'-851165837',tm_get_last,'5209531292510338826',gssb_set_burn_config,'1798916200 -922481696 -1243651313 -2143523631 -1820893288 -1812689482 -976850807',obc_get_mem,'',0,7.329549074172974,444020.0,10396.0
obc_set_tle,'680822614 9el~',gssb_set_addr,'-1221180931',gssb_update_status,'',gssb_fss_get_temp,'',obc_ident,'',tm_send_from,'4333738120650287414 7576958635879273666 16792021556882372877',tm_send_all,'7999800977455108951 7035158684138457920',gssb_msp_cal_temp,'1075206410 1205219612',obc_update_tle,'',gssb_get_burn_config,'',0,7.335649251937866,444020.0,10836.0
obc_update_status,'',com_update_status,'',drp_test_system_vars,'',gssb_msp_cal_temp,'-316232455 -46168123',tm_parse_status,'',eps_set_heater,'284866263 320818919',drp_ebf,'-2042358396',help,'',com_set_config,'sh[+=V (^rE+x',gssb_set_addr,'146654346',0,11.175611734390259,444020.0,10872.0
gssb_select,'746072227',com_send_data,'}Y|B^-9q',set_state,'6533157374017527506 5691516980094792828 478416762',com_debug,'',drp_test_system_vars,'',obc_set_tle,'1416076163 \nzANuLX',obc_set_tle,'-1076277602 M7A>I',drp_clear_gnd_wdt,'',com_ping,'-1791165216',tm_send_status,'1806689387',-6,13.794020891189575,444020.0,10488.0
gssb_fss_set_config,'-1146763373',gssb_fss_commit_config,'',gssb_get_model,'',test,"'aY/g""l'",obc_get_sensors,'',fp_reset,'',obc_set_pwm_duty,'905559194 1075634896',gssb_fss_get_temp,'',drp_set_var,'18707618 -236543473',obc_update_status,'',0,7.243811130523682,444020.0,10664.0
obc_update_tle,'',gssb_scan,'1946681534 -91868984',obc_get_mem,'',gssb_get_model,'',obc_prop_tle,'6513495672376077224',obc_get_tle,'',tm_send_last,'1713092912502427308 6134955056932425589',init_dummy_sensor,'',drp_set_deployed,'509616333',rw_get_speed,'',0,7.349131345748901,444020.0,10616.0
obc_update_status,'',gssb_reset,'',fp_set_cmd_dt,'1114128610 -848783057 926692174 W.+#m?w[ :mS;^$i4',gssb_get_uuid,'',tm_set_ack,'2581665488514927703 1575187348604796358',gssb_set_addr,'-1219264328',gssb_get_uuid,'',obc_pwm_pwr,'462531780',eps_get_hk,'',gssb_get_version,'',-6,6.37916898727417,444020.0,10752.0
gssb_msp_cal_temp,'1773036835 -1843839510',gssb_msp_get_temp,'',tm_get_last,'7546994694798854486',set_state,'1785267422933490585 7765940170577524357 2039155830',gssb_set_addr,'-627605358',com_send_rpt,'1572538856 3',eps_get_config,'',com_send_data,'o|oZ~6>at',eps_hard_reset,'',com_set_node,'120092984',0,7.5756261348724365,444020.0,10868.0
tm_get_last,'13563160196251937346',obc_prop_tle,'7151348716868737226',fp_set_cmd_dt,'1366970602 1656796339 837249590 KR~1SwVmv} !]4(=',rw_set_speed,'692720368 1540767447',gssb_get_status,'',gssb_fss_get_sun,'',gssb_pwr,'1288689869 892523513',gssb_get_burn_config,'',fp_set_cmd_dt,'1406464692 -339404283 -498834590 M nEx_g5n',obc_get_mem,'',-6,6.734186887741089,444020.0,10660.0
eps_update_status,'',drp_get_vars,'',fp_set_cmd_unix,'759499010 163876224 1290634186 6'4u_7{81 Z{\jZ#:^k',obc_get_tle,'',com_send_cmd,'831233999 .Xk',fp_reset,'',gssb_msp_cal_temp,'1247475839 -2061408868',gssb_antenna_release,'559041565 -1434508114 -1198188002 137678419',gssb_arm_manual,'184780674',com_send_data,'',-6,6.548655271530151,444020.0,10704.0
gssb_set_burn_config,'-1925840109 -1238742753 -968018172 -1875087455 -1587909657 -1300721201 1177818062',obc_ident,'',tm_send_last,'7840290359776887382 15924266688329700750',obc_get_sensors,'',gssb_get_temp,'',obc_set_pwm_duty,'611525155 1707851026',drp_set_var,'-183422873 -350247679',obc_update_tle,'',fp_reset,'',obc_get_mem,'',0,7.329704523086548,444020.0,10688.0
fp_reset,'',gssb_set_burn_config,'1983381990 797240029 -1459048970 -1242475287 1044781731 -1169877764 -1588100552',drp_set_deployed,'-218666517',gssb_set_addr,'-1565210186',gssb_get_status,'',drp_add_hrs_alive,'-161691689',drp_ebf,'1334023766',drp_add_hrs_alive,'1437297405',gssb_arm_auto,'-194318570',gssb_pwr,'1739688910 -407810087',0,7.394546031951904,444020.0,10840.0
eps_hard_reset,'',gssb_get_model,'',gssb_fss_commit_config,'',gssb_msp_cal_temp,'2096837035 399740865',com_ping,'-1841862286',tm_send_all,'15936985573887548820 13980611668535347679',tm_set_ack,'9582032404640248734 86983955494595310',rw_get_current,'',rw_get_current,'',tm_send_status,'740728302',-6,9.487040519714355,444020.0,10488.0
obc_ident,'',gssb_fss_set_config,'1483362039',eps_update_status,'',com_reset_wdt,'-1902021647',fp_reset,'',gssb_msp_cal_temp,'-1397692947 449852806',drp_ebf,'1346939428',gssb_get_uuid,'',gssb_reset,'',drp_set_var,'1276182490 -1769551714',0,7.338371992111206,444020.0,10868.0
obc_reset_wdt,'',gssb_fss_get_sun,'',com_ping,'-967025931',fp_test_params,'-2017070274 =E:V 728301536',tm_parse_status,'',init_dummy_sensor,'',gssb_fss_commit_config,'',fp_reset,'',obc_set_pwm_duty,'794890573 1892012580',com_send_rpt,'-19990386 EEFEBnd]\X',0,9.172627687454224,444020.0,10612.0
drp_test_system_vars,'',tm_send_last,'17479035407820396557 2617934263086154508',obc_get_mem,'',tm_send_all,'1312625296184367611 16830588242713706213',drp_set_deployed,'-1958340913',obc_pwm_pwr,'-436082323',gssb_unlock_config,'1806964963',drp_set_deployed,'-2014915088',tm_send_last,'16434220533381211334 2079821517870426971',obc_get_sensors,'',0,11.07331919670105,444020.0,10656.0
gssb_arm_auto,'-412821327',obc_get_tle,'',tm_send_all,'13030839142511411853 5467477068090956057',com_debug,'',gssb_update_status,'',help,'',gssb_fss_commit_config,'',set_state,'2196279185139475967 8568457830532340555 -68559707',com_update_status,'',tm_get_last,'18292722615865290017',0,7.233721017837524,444020.0,10872.0
gssb_get_sun,'',com_reset_wdt,'817041867',test,'',init_dummy_sensor,'',gssb_get_version,'',eps_hard_reset,'',fp_set_cmd_unix,'923762919 -1857633471 749561641 U*'Yw.p pyD-',com_get_config,'>',fp_show,'',gssb_msp_get_temp,'',-6,6.646169662475586,444020.0,10720.0
com_debug,'',drp_add_hrs_alive,'-1952582741',tm_send_status,'-1683159992',rw_get_current,'',gssb_antenna_release,'-267029298 129363248 -1920602955 -941055665',obc_set_tle,'1294363979 @}D',com_debug,'',gssb_msp_cal_temp,'562598036 289027390',gssb_reset,'',com_update_status,'',-6,6.679807662963867,444020.0,10616.0
fp_set_cmd_dt,"'-1326470638 -1404050752 -1738460469 EI_ehugl~ s)B?""+'",com_reset_wdt,'-545813524',tm_set_ack,'8252222650220444563 2610508598338713219',gssb_get_burn_config,'',gssb_update_status,'',eps_update_status,'',gssb_pwr,'1213306768 1013076858',tm_parse_status,'',fp_set_cmd,"'769308392 661160208 1667995592 118609523 749191602 1165688301 -47889125 1557967477 @^0^c L,<7'9Hi_'",gssb_update_status,'',-6,6.3461668491363525,444020.0,10616.0
gssb_set_addr,'362675484',obc_reset_wdt,'',fp_set_cmd_unix,'1701182807 182238431 -693198621 p~+s BL',obc_get_sensors,'',gssb_get_sun,'',gssb_fss_get_sun,'',rw_get_speed,'',fp_reset,'',gssb_fss_set_config,'2098311604',gssb_burn,'',-6,6.372353553771973,444020.0,10600.0
obc_prop_tle,'8785434257101020648',com_ping,'1461011345',obc_set_pwm_duty,'-323529840 -838506404',test,'$[78o',gssb_msp_get_temp,'',fp_set_cmd,'-1347545258 728128258 2055460753 1552544271 370264084 1824731754 1273960353 -307486590 [M[ *-]{q-',com_get_node,'',tm_send_from,'15040051463887680649 4335205358409784188 12560183474660976653',com_debug,'',obc_prop_tle,'6336763550349105607',-11,9.245233535766602,444020.0,10564.0
gssb_arm_auto,'-735387500',gssb_unlock_config,'-487578880',com_send_cmd,'-2117471121 d]ZsQ',obc_get_time,'-2092341689',com_send_data,'}|o5=S{Yf',gssb_get_uuid,'',gssb_msp_get_temp,'',obc_update_status,'',rw_get_speed,'',com_set_config,'' VX{',0,8.156939268112183,444020.0,10564.0
com_update_status,'',com_reset_wdt,'-1487767591',gssb_arm_auto,'-1923499278',init_dummy_sensor,'',tm_send_last,'16751394101319949567 16398213677751130995',set_state,'5107380514481254551 9433625904222023586 1889688808',tm_parse_status,'',init_dummy_sensor,'',gssb_get_burn_config,'',fp_set_cmd_dt,"'349258992 230878226 -1296658031 *Ne*!RBZh, '",-6,6.859093427658081,444020.0,10632.0
fp_del_cmd,'-2017547455 129176370 1064818862 1830490737 -1804120400 742169425',tm_set_ack,'3628429890659141276 15000689989961122755',gssb_commit_addr,'',set_state,'7641029535152213972 10328027837855718365 -207889620',obc_get_sensors,'',obc_reset_wdt,'',gssb_get_sun,'',drp_test_system_vars,'',com_set_config,'@|ZMig}X< {MINMR6J',com_update_status,'',-11,6.248358488082886,444020.0,10492.0
obc_prop_tle,'-5489678425862382660',obc_set_pwm_freq,'511080786 287828336725322414526557156537715833800',fp_del_cmd,'-1929068782 2051989347 -933861627 -500548991 740716121 -1544218000',tm_send_last,'8527816650596302197 2108134100817612003',eps_get_config,'',drp_clear_gnd_wdt,'',com_reset_wdt,'1383283364',gssb_antenna_release,'-1465498189 -1702424479 -907512569 586066417',fp_del_cmd,'2060688507 -1493954996 -301830363 -1634314977 877588055 -1323466749',obc_set_tle,'1092718084 CnCRr#cYO',-6,6.400632381439209,444020.0,10552.0
gssb_get_status,'',obc_get_tle,'',fp_set_cmd_unix,'252867155 359761628 1939884997 e?gdCI&w$ o*BAYjq',gssb_get_status,'',gssb_get_model,'',drp_get_vars,'',gssb_arm_manual,'-1732166060',obc_ident,'',obc_get_mem,'',com_update_status,'',-6,6.407290458679199,444020.0,10896.0
